,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8
1,27.71966,48.55022,65.21374,95.27666,116.9964,133.9056,152.3412,151.934
2,30.4267,33.47752,44.80953,62.47495,77.43523,104.2153,102.7393,137.0004
3,16.66549,30.1086,39.96952,44.12225,59.57512,77.56929,106.8925,166.5539
4,8.815617,18.3516,8.658275,27.5859,48.62691,60.18013,91.3286,145.7109
5,6.628881,10.41339,24.81939,26.08952,30.1605,52.30802,64.71007,76.30823
6,21.83975,6.63927,18.97085,32.89204,43.15014,62.86014,104.6657,130.2294
7,53.34303,26.79797,6.63927,10.88787,17.2044,56.18116,79.70141,90.8453
